节点名称,一号店分类,一号店ID
食品,,
食品/休闲零食,海苔||小食||豆干,c5473||c5320||c34660
食品/休闲零食/糕点,西式糕点||传统糕点||面包/面包干||蛋糕||凤梨酥||沙琪玛||蛋卷||蛋黄派/巧克力派||猴姑饼干||饼干,c34769||c34744||c29358||c34770||c34761||c34752||c29359||c5257||c0||c36498
食品/休闲零食/肉类,鱼干||猪肉脯||牛肉干||凤爪||鸭翅||鸭脖||鸡翅||鸭舌||鸭肫,c5465||c34669||c5464||c2025||c2027||c2028||c2026||c2029||c2030
食品/休闲零食/坚果,豆类制品||坚果礼品||瓜子||话梅||花生||坚果||夏威夷果||板栗||核桃||腰果,c34680||c5871||c5467||c24564||c5466||c0||c28155||c28152||c5468||c28151
食品/休闲零食/豆类,,
食品/休闲零食/膨化油炸,膨化食品||薯片||锅巴,c34651||c5260||c34653
食品/休闲零食/糖类,巧克力||硬糖||棒棒糖||奶糖||软糖||润喉糖/薄荷糖||巧克力礼盒||婚庆时刻||果冻/布丁||口香糖||龟苓膏,c5258||c0||c0||c0||c0||c0||c0||c5427||c5267||c5426||c0
食品/休闲零食/果干蜜饯,蜜饯||枣类,c5265||c24563
食品/休闲零食/乳品,,
食品/健康饮食,,
食品/健康饮食/营养滋补,基础营养||维生素/钙||蛋白粉||螺旋藻||滋补||人参||阿胶||灵芝||燕窝||石斛||蜂制品||提高免疫||减肥养颜,c0||c0||c0||c0||c0||c0||c0||c0||c0||c0||c0||c0||c0
食品/健康饮食/有机食品,有机食品,c0
食品/健康饮食/无糖食品,,
食品/粮油调味,,
食品/粮油调味/米类,大米||黑米||薏米,c5287||c34857||c34861
食品/粮油调味/面类,面粉||挂面,c22986||c19046
食品/粮油调味/杂粮,杂粮,c5288
食品/粮油调味/食用油,食用油||花生油||橄榄油||葵花油,c34863||c34870||c34869||c34871
食品/粮油调味/烘培辅料,烘焙DIY||烘焙辅料,c0||c34831
食品/粮油调味/调味品,咸鸭蛋||调味料||酱油||蛋制品||糖||鸡精/味精||盐||调味酱||料酒/黄酒||调味油||腐乳||酱菜||醋||汤料||烘焙辅料||火锅料,c0||c34808||c5481||c34839||c5415||c34827||c5273||c34816||c34828||c34832||c20715||c20731||c5480||c22207||c34831||c34809
食品/粮油调味/咸蛋卤蛋,咸鸭蛋||蛋制品,c0||c34839
食品/粮油调味/咸菜,泡菜,c33627
食品/粮油调味/南北干货,滋补类||莲子/枣子||黑木耳||菌菇类||白木耳/银耳||香菇类||干菜||腌干水产品||桂圆干/龙眼,c28379||c28380||c34875||c28373||c29360||c0||c28375||c29363||c29362
食品/粮油调味/方便速食,方便菜||粽子||速食汤/粥||火腿肠||罐头||方便饭||方便米线||方便面||方便粉丝,c33625||c35046||c0||c5867||c28389||c6284||c34845||c29370||c5868
食品/粮油调味/熟食,火腿/熟肉制品,c33626
食品/粮油调味/速冻食品,冷冻速食,c33624
食品/粮油调味/半成品,,
食品/饮料饮品,冷藏饮品,c0
食品/饮料饮品/饮用水,水||苏打水||天然饮用水||纯净水||无汽苏打水||矿泉水||矿物质水||蒸馏水||高端水,c5228||c0||c0||c0||c0||c0||c0||c0
食品/饮料饮品/饮料,椰汁||可乐||果蔬汁||凉茶||碳酸饮料||植物蛋白饮料||茶饮料||功能饮料||果汁||豆浆,c0||c0||c5225||c0||c5224||c33758||c5227||c5226||c0||c0
食品/饮料饮品/冲饮谷物,酸奶粉||核桃粉||麦片谷物||藕粉||可可||芝麻糊||奶茶||豆奶粉||果味冲饮||奶粉||早餐冲饮||中老年冲饮||天然粉||柚子茶||麦片谷物||芝麻糊,c36184||c0||c5272||c34779||c27289||c27646||c5484||c27644||c27287||c28343||c1402||c0||c27645||c27286||c0||c0
食品/饮料饮品/果味冲饮,果味冲饮,c27287
食品/饮料饮品/咖啡,咖啡饮料||速溶咖啡||咖啡伴侣||咖啡方糖||咖啡豆||咖啡粉||雀巢咖啡||麦斯威尔||白咖啡||黑咖啡||即饮咖啡||卡布奇诺||拿铁||咖啡,c21606||c5231||c34785||c34792||c34784||c34783||c0||c0||c0||c0||c0||c0||c0||c0
食品/饮料饮品/奶茶,奶茶||奶茶,c0||c5484
食品/饮料饮品/奶粉,奶粉||酸奶粉||奶粉,c28343||c36184||c0
食品/饮料饮品/乳制品,低温鲜奶||香蕉牛奶||乳品饮料||酸奶||纯牛奶||风味奶||奶酪||豆奶||儿童奶||有机奶||羊奶||乳品||牛奶,c0||c0||c0||c28982||c28980||c28984||c28988||c28983||c28981||c0||c30645||c5229||c0
食品/饮料饮品/蜂蜜果茶,柚子茶||蜂蜜,c27286||c31904
食品/茶,茶礼盒||袋泡茶,c0||c35441
食品/茶/绿茶,绿茶,c27366
食品/茶/龙井,龙井,c0
食品/茶/碧螺春,碧螺春,c0
食品/茶/白茶,白茶,c34795
食品/茶/黄茶,,
食品/茶/铁观音,铁观音,c0
食品/茶/乌龙茶,,
食品/茶/红茶,红茶||金骏眉,c27370||c0
食品/茶/黑茶,,
食品/茶/普洱,普洱茶,c27367
食品/茶/花茶,花草茶||花果茶||菊花茶||茉莉花茶||玫瑰花茶,c27369||c34797||c0||c0||c0
食品/茶/大麦茶,大麦茶,c0
食品/茶/苦荞,苦荞,c0
食品/茶/柠檬片,柠檬片,c0
食品/酒,礼盒||整箱酒||高端酒||小酒馆,c0||c0||c0||c2003
食品/酒/啤酒,啤酒,c27373
食品/酒/白酒,白酒,c5239
食品/酒/洋酒,洋酒,c5242
食品/酒/葡萄酒,葡萄酒||白葡萄酒||红葡萄酒,c34802||c34806||c34804
食品/酒/黄酒养生酒,保健酒||黄酒,c5243||c5240
食品/酒/清酒米酒,,
食品/酒/果酒奶酒,,
食品/酒/收藏酒,,
食品/酒/特调酒,鸡尾酒,c0
食品/酒/气泡酒,气泡酒,c34807
食品/水果蔬菜,,
食品/水果蔬菜/水果,水果,c33618
食品/水果蔬菜/进口水果,,
食品/水果蔬菜/蔬菜,蔬菜,c33619
食品/生鲜,1号生鲜||鲜肉/肉制品,c31085||c33622
食品/生鲜/牛羊肉,,
食品/生鲜/猪肉,,
食品/生鲜/家禽,禽/蛋,c33621
食品/生鲜/蛋类,禽/蛋,c33621
食品/生鲜/海鲜,大闸蟹||海鲜水产,c0||c33623
食品/进口食品,,
食品/进口食品/进口水果,,
食品/进口食品/进口乳制品,进口牛奶||婴儿奶粉||成人奶粉||进口酸奶||进口豆奶||酸奶粉,c22882||c0||c0||c22884||c22883||c33825
食品/进口食品/进口酒,进口啤酒||进口葡萄酒||进口洋酒||进口直采||高档红酒||威士忌||白兰地||起泡酒/香槟||红葡萄酒||酒礼盒,c22971||c33945||c33930||c0||c0||c33931||c33932||c33949||c33947||c0
食品/进口食品/进口甜点,进口饼干||进口糕点||进口曲奇||进口威化||进口休闲小饼||进口粗粮饼干||进口苏打饼干||进口夹心/涂层饼干,c33699||c33700||c22889||c22890||c33706||c33702||c33980||c33703
食品/进口食品/进口茶咖啡,进口速溶咖啡||进口咖啡豆||进口红茶||咖啡伴侣/辅料||进口花果茶||进口绿茶||进口咖啡胶囊||进口咖啡粉,c22851||c33856||c22847||c33849||c22848||c22849||c33858||c33857
食品/进口食品/进口水/饮料,进口果蔬汁||进口饮用水||进口碳酸饮料||进口咖啡饮料||进口果味饮料||进口果汁饮料||进口纯果蔬汁,c33886||c22854||c22857||c22859||c33890||c33888||c33887
食品/进口食品/进口零食,,
食品/进口食品/粮油米面,进口橄榄油||进口米面制品||进口意面||其他进口食用油||烘焙原料/辅料||进口大米||进口挂面||进口杂粮||进口方便面||特级初榨橄榄油,c33837||c33818||c22868||c22840||c33815||c22866||c30467||c33819||c22869||c33841
食品/进口食品/进口调料,进口调味酱||进口调味汁||意面酱||进口调味粉||进口肉松/鱼松||进口调味油||进口肉罐头||进口水产罐头||蔬菜罐头||进口水果罐头||酱油||果酱,c33901||c33916||c22871||c33893||c29404||c33912||c22878||c22877||c22880||c22879||c33923||c33921
食品/进口食品/进口冲饮,进口早餐谷物||进口蜂蜜||进口柚子茶||进口巧克力粉||进口奶茶粉||进口天然粉||进口豆奶/豆浆粉,c22842||c22843||c22844||c33813||c33814||c22845||c33812
食品/进口食品/蜜饯坚果,,
食品/进口食品/进口生鲜,1号生鲜||进口水果||进口海鲜||低温乳品||禽/蛋||冷冻食品||鲜肉/肉制品,c31085||c33628||c2594||c0||c0||c0||c0
食品/进口食品/进口营养品,胶原蛋白||左旋肉碱||蛋白粉||葡萄籽||蓝莓||鱼油/卵磷脂||美体瘦身||美容养颜||维生素/钙,c923||c924||c926||c922||c925||c928||c929||c930||c2423
食品/节日特色,,
食品/节日特色/元宵汤圆,,
食品/节日特色/粽子,粽子,c35046
食品/节日特色/月饼,,
食品/地方特产,,
食品/地方特产/东北,东北,c28845
食品/地方特产/华北,华北,c28841
食品/地方特产/西北,西北,c28846
食品/地方特产/华东,华东,c28847
食品/地方特产/华南,华南,c28842
食品/地方特产/华中,华中,c28843
食品/地方特产/西南,西南,c28844